Filepath,Id,Ligand_state,SMILES,Error
PDB_URV_DATABASE/Ligand_sdf/7VIC_ligand.sdf,7VIC,valid,[H]O[C@]1([H])[C@@]2(O[H])OC([H])([H])[C@@]3([C@@]1([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@]3([H])O[H])[C@]1([H])C([H])([H])C([H])([H])[C@]3([H])[C@@]([H])(O[H])[C@]21C(=O)[C@]3([H])C([H])([H])[H],
PDB_URV_DATABASE/Ligand_sdf/7VLP_ligand.sdf,7VLP,valid,[H]N1C(=O)[C@]([H])(C([H])([H])[C@]([H])(N([H])C(=O)[C@@]2([H])N(C(=O)[C@@]([H])(N([H])C(=O)C(F)(F)F)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@]3([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]32[H])C([H])([H])[N+]([H])([H])[H])C([H])([H])C1([H])[H],
PDB_URV_DATABASE/Ligand_sdf/7VLQ_ligand.sdf,7VLQ,valid,[H]N1C(=O)[C@]([H])(C([H])([H])[C@]([H])(N([H])C(=O)[C@@]2([H])N(C(=O)[C@@]([H])(N([H])C(=O)C(F)(F)F)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@]3([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]32[H])C([H])([H])[N+]([H])([H])[H])C([H])([H])C1([H])[H],
PDB_URV_DATABASE/Ligand_sdf/7VTH_ligand.sdf,7VTH,valid,[H]c1c([H])c(N([H])c2nc(=O)n(C([H])([H])C(=O)N([H])C([H])([H])[H])c(=O)n2C([H])([H])c2c([H])c(F)c(F)c(F)c2[H])c(C([H])([H])[H])c([H])c1OC([H])(F)F,
PDB_URV_DATABASE/Ligand_sdf/7VU6_ligand.sdf,7VU6,invalid,[H]C1=N/C(=C(\[H])N2C(=O)N([H])C(N([H])C3=C(\[H])C4=C([H])N(C([H])([H])[H])N=C4/C([H])=C\3Cl)N(C([H])([H])C3=C(F)C([H])=C(F)C(F)=C3[H])C2=O)N=N1C([H])([H])[H],"Explicit valence for atom # 5 N, 4, is greater than permitted"
PDB_URV_DATABASE/Ligand_sdf/7VVP_ligand.sdf,7VVP,valid,[H]C1=C(C([H])([H])[C@@]([H])(C(=O)C([H])([H])OP([O])([O])=O)N([H])C(=O)[C@@]([H])(N([H])C(=O)c2c([H])c3c(OC([H])([H])[H])c([H])c([H])c([H])c3n2[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N([H])C1([H])[H],
PDB_URV_DATABASE/Ligand_sdf/7VVT_ligand.sdf,7VVT,valid,[H]c1c([H])c(Cl)c([H])c(N([H])C(=O)C([H])([H])[C@]2([H])C(=O)N([H])C([H])([H])C([H])([H])N2C(=O)C([H])([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/7X6K_ligand.sdf,7X6K,valid,[H]C(=O)c1c([H])c2c([H])c([H])c([H])c([H])c2n1[H],
PDB_URV_DATABASE/Ligand_sdf/8ACD_ligand.sdf,8ACD,valid,[H]c1sc(C([H])([H])N([H])C(=O)[C@@]2([H])N(c3c([H])c([H])c(Cl)c(Cl)c3[H])C([H])([H])C([H])([H])N(C(=O)c3c([H])c(=O)n([H])c(=O)n3[H])C2([H])[H])c([H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x0689_ligand.sdf,Mpro-x0689,valid,[H]c1sc(S(=O)(=O)N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x0691_ligand.sdf,Mpro-x0691,valid,[H]c1c([H])c(F)c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C2([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x0755_ligand.sdf,Mpro-x0755,valid,[H]c1c([H])c(F)c(S(=O)(=O)N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C2([H])[H])c(F)c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x0770_ligand.sdf,Mpro-x0770,valid,[H]c1c([H])c(Cl)c([H])c(C([H])([H])[N+]2([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C2([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x0830_ligand.sdf,Mpro-x0830,valid,[H]c1c([H])c([H])c2c(C([H])([H])[N+]3([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C3([H])[H])c([H])c([H])c([H])c2c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10236_ligand.sdf,Mpro-x10236,valid,[H]c1nc([H])c(N([H])C(=O)N(c2c([H])c([H])c([H])c(Cl)c2[H])C([H])([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10322_ligand.sdf,Mpro-x10322,valid,[H]c1nc([H])c(C([H])([H])C(=O)N([H])c2c([H])c(O[C@]3([H])N([H])C(=O)C3([H])[H])c([H])c(C([H])([H])[H])c2[H])c([H])n1,
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10338_ligand.sdf,Mpro-x10338,valid,[H]OC([H])([H])c1c([H])c([H])nc([H])c1N([H])C(=O)[C@@]1([H])c2c([H])c(Cl)c([H])c([H])c2OC1([H])[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10371_ligand.sdf,Mpro-x10371,valid,[H]c1nc([H])c(C([H])([H])C(=O)N([H])c2c([H])c([H])c([H])c(O[C@]3([H])N([H])C(=O)C3([H])[H])c2[H])c([H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10387_ligand.sdf,Mpro-x10387,valid,[H]c1nc([H])c(C([H])([H])C(=O)N([H])c2c([H])c(F)c([H])c(O[C@]3([H])N([H])C(=O)C3([H])[H])c2[H])c([H])n1,
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10417_ligand.sdf,Mpro-x10417,valid,[H]c1nc([H])c(N([H])C(=O)C([H])([H])c2c([H])c([H])c([H])c(F)c2[H])c(C([H])([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10422_ligand.sdf,Mpro-x10422,valid,[H]c1nc([H])c(N([H])C(=O)C(c2c([H])c([H])c([H])c(Cl)c2[H])(C([H])([H])[H])C([H])([H])[H])c(C([H])([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10423_ligand.sdf,Mpro-x10423,valid,[H]c1nc([H])c(N([H])C(=O)[C@@]([H])(c2c([H])c([H])c([H])c(Cl)c2[H])C([H])([H])C([H])([H])C([H])([H])[H])c(C([H])([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10466_ligand.sdf,Mpro-x10466,valid,[H]c1c([H])c(Cl)c([H])c(C([H])([H])C(=O)N([H])n2c([H])nc3c([H])c([H])c([H])c([H])c32)c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10535_ligand.sdf,Mpro-x10535,valid,[H]c1nc([H])c([C@]2([H])C(=O)N(c3c([H])c([H])c([H])c(Cl)c3[H])C(=O)N2[H])c([H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10565_ligand.sdf,Mpro-x10565,valid,[H]c1nc([H])c(N([H])C(=O)C([H])([H])c2c([H])c([H])c([H])c(I)c2[H])c(C([H])([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10638_ligand.sdf,Mpro-x10638,valid,[H]c1nc([H])c(N([H])C(=O)C([H])([H])N2C(=O)C([H])([H])Oc3c([H])c([H])c(Cl)c([H])c32)c(C([H])([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10679_ligand.sdf,Mpro-x10679,valid,[H]c1nc([H])c(N([H])C(=O)C([H])([H])n2c([H])c([H])c3c([H])c([H])c(Cl)c([H])c32)c(C([H])([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10789_ligand.sdf,Mpro-x10789,valid,[H]c1nc([H])c(N([H])C(=O)C([H])([H])c2c([H])c(Cl)c([H])c(O[C@@]3([H])N([H])C(=O)C3([H])[H])c2[H])c(C([H])([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10820_ligand.sdf,Mpro-x10820,valid,[H]c1sc([H])c(C([H])([H])N(C(=O)C([H])([H])n2nnc3c([H])c([H])c([H])c([H])c32)c2c([H])c([H])c(N([H])C([H])([H])[H])c([H])c2[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10870_ligand.sdf,Mpro-x10870,valid,[H]c1sc([H])c(C([H])([H])N(C(=O)C([H])([H])n2nnc3c([H])c([H])c([H])c([H])c32)c2c([H])c([H])c(N([H])C(=O)C3([H])C([H])([H])C3([H])[H])c([H])c2[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10871_ligand.sdf,Mpro-x10871,valid,[H]c1sc([H])c(C([H])([H])N(C(=O)C([H])([H])n2nnc3c([H])c([H])c([H])c([H])c32)c2c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])[H])c([H])c2[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10876_ligand.sdf,Mpro-x10876,valid,[H]c1sc([H])c(C([H])([H])N(C(=O)C([H])([H])n2nnc3c([H])c([H])c([H])c([H])c32)c2c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10942_ligand.sdf,Mpro-x10942,valid,[H]OC([H])([H])c1c([H])c([H])nc([H])c1N([H])C(=O)[C@@]1([H])c2c([H])c(Cl)c([H])c([H])c2OC([H])([H])C1([H])[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x10959_ligand.sdf,Mpro-x10959,valid,[H]c1nc([H])c2c([H])c([H])c([H])c([H])c2c1N([H])C(=O)C([H])([H])c1c([H])c([H])c([H])c(Cl)c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x11011_ligand.sdf,Mpro-x11011,valid,[H]c1nc([H])c(C([H])([H])C(=O)N([H])c2c([H])c([H])c([H])c(Cl)c2[H])c(C([H])([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x11271_ligand.sdf,Mpro-x11271,valid,[H]c1nc([H])c(N([H])C(=O)C([H])([H])c2c([H])c(Cl)c([H])c(OC([H])([H])[H])c2[H])c(C([H])([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x11276_ligand.sdf,Mpro-x11276,valid,[H]c1c([H])c([H])c(OC([H])([H])C([H])([H])N([H])C(=O)c2c([H])c(=O)n([H])c3c([H])c([H])c([H])c(F)c23)c(OC([H])([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x11294_ligand.sdf,Mpro-x11294,valid,[H]c1c([H])c([H])c(OC([H])([H])C([H])([H])N([H])C(=O)c2c([H])c(=O)n([H])c3c([H])c([H])c([H])c(OC([H])([H])[H])c23)c(OC([H])([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x11313_ligand.sdf,Mpro-x11313,valid,[H]c1c([H])c([H])c(OC([H])([H])C([H])([H])N([H])C(=O)c2c([H])c(=O)n([H])c3c([H])c([H])c([H])c(C([H])([H])[H])c23)c(OC([H])([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x11317_ligand.sdf,Mpro-x11317,valid,[H]c1nc([H])c(N([H])C(=O)C([H])([H])c2c([H])c([H])c([H])c(Cl)c2[H])c(C([H])([H])[H])c1N([H])[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x11318_ligand.sdf,Mpro-x11318,valid,[H]c1nc([H])c(N([H])C(=O)C([H])([H])c2c([H])c([H])c([H])c(C#N)c2[H])c(C([H])([H])[H])c1N([H])[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x11366_ligand.sdf,Mpro-x11366,valid,[H]c1c([H])c([H])c(N2C([H])([H])C([H])([H])N(C(=O)c3c([H])c(=O)n([H])c4c([H])c([H])c([H])c([H])c34)C([H])([H])C2([H])[H])c(F)c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x11368_ligand.sdf,Mpro-x11368,valid,[H]c1nc([H])c(N([H])C(=O)C([H])([H])c2c([H])c([H])c([H])c(Br)c2[H])c(C([H])([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x11454_ligand.sdf,Mpro-x11454,valid,[H]c1nc2c([H])c([H])c([H])c([H])n2c1N([H])C(=O)C([H])([H])c1c([H])c([H])c([H])c(Cl)c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x11458_ligand.sdf,Mpro-x11458,valid,[H]C#Cc1c([H])c([H])c([H])c(C([H])([H])C(=O)N([H])c2c([H])nc([H])c3c([H])c([H])c([H])c([H])c23)c1[H],
PDB_URV_DATABASE/Ligand_sdf/Mpro-x11488_ligand.sdf,Mpro-x11488,valid,[H]c1nc([H])c(N([H])C(=O)/C(=C(\[O-])OC([H])([H])[H])c2c([H])c([H])c([H])c(Cl)c2[H])c(C([H])([H])[H])c1[H],
